1-0	4-nummod	1-nsubj
54-5	6-nsubj	4-nmod
54-6	0-conj	5-nmod
54-7	6-nmod	6-nmod
54-8	6-punct	1-punct
54-9	15-punct	1-punct
54-10	15-nsubj	22-root
54-11	15-aux	10-nmod
54-12	15-neg	11-nmod
54-13	15-cop	12-nmod
54-14	15-det	13-nmod
54-15	6-amod	13-nmod
54-16	15-punct	15-punct
54-17	19-nsubj	15-nmod
54-18	19-aux	17-nmod
54-19	15-aux	18-nmod
54-20	15-punct	10-punct
54-21	15-punct	10-punct

55-0	14-root	1-cc
55-1	5-nsubj	14-root
55-2	4-case	1-nmod
55-3	4-det	2-nmod
55-4	1-nmod	3-nmod
55-5	0-conj	4-nmod
55-6	5-dobj	5-nmod
55-7	5-dep	6-nmod
55-8	7-dep	7-nmod
55-9	8-dep	8-nmod
55-10	12-case	9-nmod
55-11	12-det	14-root
55-12	5-nmod	11-nmod
55-13	0-punct	11-punct

56-0	3-nsubj	1-expl
56-1	3-aux	21-root
56-2	3-advmod	1-nmod
56-3	21-root	2-nmod
56-4	3-iobj	3-nmod
56-5	7-case	9-advmodCOLemph
56-6	7-amod	5-nmod
56-7	4-nmod	6-nmod
56-8	7-cc	5-cc
56-9	7-conj	4-nmod
56-10	11-amod	9-nmod
56-11	3-dobj	10-nmod
56-12	0-dep	11-nmod
56-13	12-dep	12-nmod
56-14	16-case	12-nmod
56-15	16-det	21-root
56-16	13-nmod	15-nmod
56-17	19-case	18-advmodCOLemph
56-18	19-amod	16-nmod
56-19	16-nmod	18-nmod
56-20	3-punct	15-punct

57-0	2-nsubj	1-expl
57-1	2-aux	10-root
57-2	5-dep	1-nmod
57-3	2-dobj	2-nmod
57-4	2-punct	1-punct
57-5	10-root	1-nmod
57-6	5-nsubj	5-nmod
57-7	6-name	6-nmod
57-8	6-name	7-nmod
57-9	5-punct	1-punct

58-0	4-punct	1-punct
58-1	4-nsubj	17-root
58-2	4-aux	1-nmod
58-3	4-cop	2-nmod
58-4	17-root	3-nmod
58-5	4-dep	4-nmod
58-6	11-punct	1-punct
58-7	11-mark	8-mark
58-8	11-nsubj	1-nmod
58-9	11-neg	8-xcomp
58-10	11-aux	9-nmod
58-11	5-dep	10-nmod
58-12	11-dobj	11-nmod
58-13	11-advmod	12-nmod
58-14	15-det	13-nmod
58-15	11-dep	14-nmod
58-16	4-punct	1-punct

59-0	6-dep	14-root
59-1	0-nsubj	0-nmod
59-2	0-nmodCOLloc	1-nmod
59-3	4-case	2-nmod
59-4	2-nmod	3-nmod
59-5	0-punct	0-punct
59-6	11-dep	0-nmod
59-7	6-nsubj	0-nmod
59-8	6-dep	0-nmod
59-9	6-punct	0-punct
59-10	6-punct	0-punct
59-11	14-root	0-nmod
59-12	11-nsubj	11-nmod
59-13	11-punct	0-punct

60-0	2-det	1-nmod
60-1	2-amod	14-root
60-2	3-nsubj	1-nmod
60-3	14-root	2-nmod
60-4	3-advmod	3-nmod
60-5	8-det	4-nmod
60-6	8-det	5-nmod
60-7	8-amod	6-nmod
60-8	3-dobj	7-nmod
60-9	10-punct	1-punct
60-10	3-dep	1-nmod
60-11	12-case	10-nmod
60-12	10-nmod	11-nmod
60-13	3-punct	1-punct

61-0	1-nsubj	1-nmod
61-1	4-root	4-root
61-2	1-dobj	1-nmod
61-3	1-punct	1-punct

62-0	1-advmod	6-root
62-1	4-case	2-advmodCOLemph
62-2	4-nmodCOLposs	0-nmod
62-3	4-amod	2-nmod
62-4	6-root	3-nmod
62-5	1-punct	0-punct

63-0	1-nsubj	1-nummod
63-1	4-root	4-root
63-2	1-neg	1-nmod
63-3	1-dobj	1-nmod

64-0	1-nummod	1-nummod
64-1	4-nsubj	10-root
64-2	4-aux	1-nmod
64-3	4-neg	2-nmod
64-4	10-root	3-nmod
64-5	4-dobj	4-nmod
64-6	5-nmod	5-nmod
64-7	8-cop	6-nmod
64-8	6-dep	7-nmod
64-9	4-punct	1-punct

65-0	1-det	1-nmod
65-1	3-nsubj	8-root
65-2	3-aux	1-nmod
65-3	5-dep	2-nmod
65-4	3-punct	1-punct
65-5	8-root	1-nmod
65-6	5-nsubj	5-nmod
65-7	5-punct	1-punct

66-0	1-advmod	16-root
66-1	16-root	0-nmod
66-2	1-nsubj	1-nmod
66-3	9-punct	0-punct
66-4	9-mark	5-mark
66-5	6-nummod	0-nummod
66-6	9-nsubj	5-nmod
66-7	8-case	5-nmod
66-8	9-nmod	7-nmod
66-9	1-dobj	8-nmod
66-10	9-advmod	9-nmod
66-11	14-case	12-advmodCOLemph
66-12	14-det	10-nmod
66-13	14-amod	10-nmod
66-14	9-nmod	13-nmod
66-15	1-punct	0-punct

67-0	1-advmod	11-root
67-1	11-root	0-nmod
67-2	4-det	1-nmod
67-3	4-amod	1-nmod
67-4	1-nsubj	3-nmod
67-5	7-nummod	0-nummod
67-6	7-amod	5-nmod
67-7	1-dobj	6-nmod
67-8	9-case	7-nmod
67-9	1-nmod	8-nmod
67-10	1-punct	0-punct

68-0	3-dep	9-root
68-1	0-dep	9-root
68-2	1-dep	1-nmod
68-3	9-root	2-nmod
68-4	3-nsubj	3-nmod
68-5	3-advmod	4-nmod
68-6	5-dep	5-nmod
68-7	6-nummod	1-nummod
68-8	3-punct	1-punct

69-0	1-nsubj	1-expl
69-1	7-root	7-root
69-2	3-det	1-nmod
69-3	1-dobj	7-root
69-4	5-case	3-nmod
69-5	3-nmod	4-nmod
69-6	1-punct	3-punct

70-0	2-nsubj	8-root
70-1	2-aux	0-nmod
70-2	8-root	1-nmod
70-3	6-case	2-nmod
70-4	6-det	8-root
70-5	6-dep	4-nmod
70-6	2-nmod	5-nmod
70-7	2-punct	4-punct

71-0	3-root	3-root
71-1	0-name	0-nmod
71-2	0-name	0-nmod

72-0	3-det	7-root
72-1	3-amod	0-nmod
72-2	3-amod	1-nmod
72-3	4-nsubj	2-nmod
72-4	7-root	3-nmod
72-5	4-dobj	4-nmod
72-6	4-punct	0-punct

73-0	1-advmod	7-root
73-1	7-root	0-nmod
73-2	1-nsubj	1-nmod
73-3	1-dobj	0-nmod
73-4	6-case	0-nmod
73-5	6-nmodCOLposs	4-nmod
73-6	1-nmod	0-nmod

74-0	1-name	35-root
74-1	3-nsubj	0-nmod
74-2	1-name	1-nmod
74-3	35-root	2-nmod
74-4	3-advmod	3-nmod
74-5	7-det	35-root
74-6	7-amod	5-nmod
74-7	3-dobj	6-nmod
74-8	9-case	7-nmod
74-9	7-nmod	8-nmod
74-10	9-dep	9-nmod
74-11	10-nummod	10-nummod
74-12	13-case	11-nmod
74-13	3-nmod	12-nmod
74-14	13-dep	13-nmod
74-15	19-punct	5-punct
74-16	19-mark	17-mark
74-17	19-expl	5-nmod
74-18	19-aux	17-nmod
74-19	14-dep	18-nmod
74-20	19-dobj	19-nmod
74-21	27-case	20-nmod
74-22	27-det	21-nmod
74-23	27-det	21-nmod
74-24	19-punct	21-punct
74-25	27-amod	21-nmod
74-26	27-amod	25-nmod
74-27	19-nmod	26-nmod
74-28	27-punct	21-punct
74-29	27-dep	21-nmod
74-30	29-punct	21-punct
74-31	29-conj	21-nmod
74-32	29-cc	31-cc
74-33	29-conj	31-nmod
74-34	3-punct	5-punct

75-0	2-punct	1-punct
75-1	2-nsubj	18-root
75-2	18-root	1-nmod
75-3	2-dep	2-nmod
75-4	3-dep	3-nmod
75-5	4-dep	4-nmod
75-6	5-dobj	4-nmod
75-7	8-case	4-nmod
75-8	6-nmod	7-nmod
75-9	5-dep	10-mark
75-10	9-dep	8-nmod
75-11	12-case	10-nmod
75-12	10-nmod	18-root
75-13	16-case	12-nmod
75-14	16-det	13-nmod
75-15	16-det	13-nmod
75-16	12-nmod	15-nmod
75-17	2-punct	12-punct

76-0	2-det	31-root
76-1	2-amod	0-nmod
76-2	4-nsubj	1-nmod
76-3	4-aux	2-nmod
76-4	25-dep	3-nmod
76-5	4-dep	4-nmod
76-6	11-punct	0-punct
76-7	11-mark	8-mark
76-8	10-det	0-nmod
76-9	10-amod	0-nmod
76-10	11-nsubj	9-nmod
76-11	5-dep	10-nmod
76-12	15-punct	0-punct
76-13	15-mark	14-mark
76-14	15-expl	0-nmod
76-15	11-dep	14-nmod
76-16	18-det	15-nmod
76-17	18-amod	16-nmod
76-18	15-dobj	17-nmod
76-19	18-cc	0-cc
76-20	18-conj	0-nmod
76-21	22-case	20-nmod
76-22	15-nmod	21-nmod
76-23	15-punct	0-punct
76-24	4-punct	23-punct
76-25	31-root	0-nmod
76-26	25-nsubj	25-nmod
76-27	26-name	26-nmod
76-28	29-case	27-nmod
76-29	25-nmod	28-nmod
76-30	25-punct	0-punct

77-0	12-nsubj	35-root
77-1	12-aux	0-nmod
77-2	3-case	1-nmod
77-3	12-nmod	2-nmod
77-4	6-punct	3-punct
77-5	6-nsubj	35-root
77-6	3-aclCOLrelcl	35-root
77-7	8-case	6-nmod
77-8	6-nmod	7-nmod
77-9	10-case	8-nmod
77-10	6-nmod	9-nmod
77-11	6-punct	9-punct
77-12	35-root	9-nmod
77-13	14-nummod	12-nummod
77-14	12-dobj	13-nmod
77-15	14-punct	14-punct
77-16	17-nsubj	35-root
77-17	14-dep	35-root
77-18	17-dobj	17-nmod
77-19	20-case	18-nmod
77-20	18-nmod	35-root
77-21	22-case	20-nmod
77-22	20-nmod	21-nmod
77-23	24-case	22-nmod
77-24	19-nmod	23-nmod
77-25	27-case	24-nmod
77-26	27-nummod	25-nummod
77-27	24-nmod	26-nmod
77-28	29-case	27-nmod
77-29	27-nmod	27-nmod
77-30	29-advmod	29-nmod
77-31	33-case	30-nmod
77-32	33-nummod	26-conj
77-33	30-nmod	32-nmod
77-34	12-punct	20-punct

78-0	2-nsubj	23-root
78-1	0-name	0-nmod
78-2	23-root	1-nmod
78-3	2-neg	2-nmod
78-4	14-punct	0-punct
78-5	14-mark	23-root
78-6	7-det	23-root
78-7	14-nsubj	6-nmod
78-8	9-case	7-nmod
78-9	7-nmod	8-nmod
78-10	9-cc	6-cc
78-11	9-conj	6-nmod
78-12	14-aux	11-nmod
78-13	14-cop	12-nmod
78-14	2-dobj	13-nmod
78-15	14-dep	14-nmod
78-16	15-dep	15-nmod
78-17	16-dep	16-nmod
78-18	21-det	23-root
78-19	20-advmod	18-nmod
78-20	21-amod	19-nmod
78-21	17-dobj	20-nmod
78-22	2-punct	18-punct

79-0	1-dep	2-root
79-1	2-root	0-nmod

80-0	2-punct	1-punct
80-1	2-nsubj	31-root
80-2	27-dep	1-nmod
80-3	4-advmod	1-advmod
80-4	2-dep	3-nmod
80-5	2-dep	4-nmod
80-6	12-punct	3-punct
80-7	12-mark	8-mark
80-8	12-nsubj	3-nmod
80-9	8-cc	3-cc
80-10	8-conj	3-nmod
80-11	12-aux	10-nmod
80-12	5-dep	11-nmod
80-13	12-dobj	12-nmod
80-14	16-case	31-root
80-15	16-amod	14-nmod
80-16	12-nmod	15-nmod
80-17	12-punct	14-punct
80-18	21-dep	31-root
80-19	21-nsubj	31-root
80-20	21-aux	19-nmod
80-21	16-aux	20-nmod
80-22	21-dobj	21-nmod
80-23	22-cc	22-cc
80-24	22-conj	22-nmod
80-25	21-punct	19-punct
80-26	2-punct	25-punct
80-27	31-root	19-nmod
80-28	27-nsubj	27-nmod
80-29	28-name	28-nmod
80-30	27-punct	19-punct

81-0	3-root	3-root
81-1	2-nummod	0-nummod
81-2	0-dep	1-nmod

82-0	1-nsubj	27-root
82-1	27-root	0-nmod
82-2	1-dep	27-root
82-3	2-dep	27-root
82-4	5-amod	3-nmod
82-5	1-dep	4-nmod
82-6	7-case	27-root
82-7	1-nmod	6-nmod
82-8	9-case	7-nmod
82-9	7-nmod	8-nmod
82-10	9-cc	9-cc
82-11	9-conj	9-nmod
82-12	1-punct	6-punct
82-13	1-cc	6-cc
82-14	15-nmodCOLtemp	13-nmod
82-15	16-advmod	14-nmod
82-16	1-conj	15-nmod
82-17	16-nsubj	16-nmod
82-18	17-punct	6-punct
82-19	17-appos	6-nmod
82-20	19-punct	6-punct
82-21	19-conj	6-nmod
82-22	19-punct	6-punct
82-23	19-conj	6-nmod
82-24	19-cc	23-cc
82-25	19-conj	23-nmod
82-26	1-punct	6-punct

83-0	2-det	15-nmod
83-1	2-nummod	0-nummod
83-2	6-nsubj	1-nmod
83-3	4-case	2-nmod
83-4	2-nmod	3-nmod
83-5	6-aux	4-nmod
83-6	43-root	5-nmod
83-7	8-nummod	6-nummod
83-8	6-nmodCOLtemp	7-nmod
83-9	10-case	10-advmodCOLemph
83-10	8-nmod	8-nmod
83-11	12-case	10-nmod
83-12	10-nmod	11-nmod
83-13	6-punct	0-punct
83-14	6-cc	0-cc
83-15	16-nsubj	16-expl
83-16	6-conj	43-root
83-17	16-advmod	16-nmod
83-18	19-nummod	17-nummod
83-19	16-dobj	18-nmod
83-20	24-case	18-nmod
83-21	16-nmod	20-nmod
83-22	24-det	21-nmod
83-23	24-dep	22-nmod
83-24	21-dep	23-nmod
83-25	24-punct	18-punct
83-26	28-advmod	18-nmod
83-27	28-nsubj	26-nmod
83-28	24-dep	27-nmod
83-29	28-amod	28-nmod
83-30	28-advmod	29-nmod
83-31	28-punct	18-punct
83-32	28-dep	18-nmod
83-33	32-punct	18-punct
83-34	32-conj	18-nmod
83-35	32-punct	18-punct
83-36	32-conj	18-nmod
83-37	32-punct	18-punct
83-38	32-conj	18-nmod
83-39	38-nummod	38-nummod
83-40	32-cc	39-cc
83-41	32-conj	39-nmod
83-42	6-punct	16-punct

84-0	9-nmod	17-root
84-1	3-nsubj	0-nmod
84-2	3-aux	1-nmod
84-3	0-aclCOLrelcl	2-nmod
84-4	5-case	3-nmod
84-5	3-nmod	4-nmod
84-6	17-root	5-nmod
84-7	6-nsubj	6-nmod
84-8	6-advmod	7-nmod
84-9	6-dobj	8-nmod
84-10	0-case	9-nmod
84-11	12-case	10-nmod
84-12	6-nmod	11-nmod
84-13	15-det	12-nmod
84-14	15-dep	13-nmod
84-15	12-dep	14-nmod
84-16	6-punct	0-punct

85-0	5-advmod	19-nmod
85-1	5-aux	0-nmod
85-2	5-nsubjpass	3-expl
85-3	5-advmod	0-nmod
85-4	5-auxpass	3-nmod
85-5	21-root	4-nmod
85-6	9-mark	7-mark
85-7	9-nsubj	0-nmod
85-8	9-aux	7-nmod
85-9	2-dep	8-nmod
85-10	18-punct	0-punct
85-11	18-mark	12-mark
85-12	18-expl	0-nmod
85-13	14-case	14-advmodCOLemph
85-14	18-nmod	12-nmod
85-15	17-case	14-nmod
85-16	17-amod	15-nmod
85-17	14-nmod	16-nmod
85-18	9-dep	17-nmod
85-19	18-nmodCOLtemp	21-root
85-20	5-punct	19-punct

86-0	2-cop	10-root
86-1	2-nsubj	2-expl
86-2	3-dep	0-nmod
86-3	10-root	2-nmod
86-4	5-nmodCOLposs	3-nmod
86-5	3-nsubj	4-nmod
86-6	8-det	5-nmod
86-7	8-dep	6-nmod
86-8	3-nmodCOLtemp	7-nmod
86-9	3-punct	0-punct

87-0	22-root	22-root
87-1	0-advmod	0-nmod
87-2	0-dep	1-nmod
87-3	2-dep	2-nmod
87-4	3-dobj	2-advmod
87-5	4-amod	4-nmod
87-6	7-mark	5-case
87-7	5-dep	6-nmod
87-8	15-punct	0-punct
87-9	15-mark	10-mark
87-10	15-nsubj	0-nmod
87-11	12-case	10-nmod
87-12	15-nmod	11-nmod
87-13	15-neg	12-nmod
87-14	15-aux	13-nmod
87-15	3-dep	14-nmod
87-16	15-dobj	15-nmod
87-17	20-case	16-nmod
87-18	20-nmod	17-nmod
87-19	18-dep	18-nmod
87-20	16-nmod	18-nmod
87-21	0-punct	0-punct

88-0	8-aux	20-root
88-1	2-det	20-root
88-2	8-nsubj	1-nmod
88-3	4-case	4-advmodCOLemph
88-4	2-nmod	2-nmod
88-5	6-case	4-nmod
88-6	8-nmod	5-nmod
88-7	8-advmod	6-nmod
88-8	13-dep	7-nmod
88-9	8-dobj	8-nmod
88-10	9-dep	9-nmod
88-11	10-dobj	10-nmod
88-12	10-nmodCOLtemp	9-conj
88-13	20-root	12-nmod
88-14	15-nummod	12-nummod
88-15	13-nsubj	14-nmod
88-16	13-nmodCOLloc	15-nmod
88-17	18-case	16-nmod
88-18	16-nmod	17-nmod
88-19	13-punct	1-punct

89-0	16-root	16-root
89-1	5-det	0-nmod
89-2	5-nummod	1-nummod
89-3	4-advmod	2-advmod
89-4	5-dep	3-nmod
89-5	8-nsubj	4-nmod
89-6	7-case	5-nmod
89-7	5-nmod	6-nmod
89-8	0-dep	5-nmod
89-9	10-case	8-nmod
89-10	8-nmod	9-nmod
89-11	14-case	10-nmod
89-12	14-det	16-root
89-13	14-amod	12-nmod
89-14	8-nmod	13-nmod
89-15	0-punct	12-punct

90-0	1-nsubj	7-root
90-1	7-root	0-nmod
90-2	5-case	7-root
90-3	5-advmod	2-nmod
90-4	5-nummod	3-nummod
90-5	1-nmod	4-nmod
90-6	1-punct	2-punct

91-0	1-nsubj	13-root
91-1	13-root	0-nmod
91-2	1-nmodCOLloc	1-nmod
91-3	2-cc	0-cc
91-4	2-conj	0-nmod
91-5	9-case	4-nmod
91-6	9-dep	5-nmod
91-7	6-cc	0-cc
91-8	6-conj	0-nmod
91-9	2-nmod	8-nmod
91-10	11-case	9-nmod
91-11	9-nmod	10-nmod
91-12	1-punct	0-punct

92-0	2-punct	1-punct
92-1	2-nsubj	29-root
92-2	21-dep	1-nmod
92-3	2-dobj	2-nmod
92-4	3-dep	3-nmod
92-5	7-case	4-nmod
92-6	7-det	5-nmod
92-7	4-nmod	6-nmod
92-8	2-cc	7-cc
92-9	2-conj	7-nmod
92-10	9-punct	6-punct
92-11	9-dep	6-nmod
92-12	11-dobj	11-nmod
92-13	11-dep	12-nmod
92-14	13-dobj	13-nmod
92-15	18-case	14-nmod
92-16	18-det	15-nmod
92-17	18-amod	16-nmod
92-18	13-nmod	17-nmod
92-19	11-punct	1-punct
92-20	2-punct	19-punct
92-21	29-root	1-nmod
92-22	24-det	21-nmod
92-23	24-amod	22-nmod
92-24	21-nsubj	23-nmod
92-25	24-punct	22-punct
92-26	24-dep	22-nmod
92-27	26-name	26-nmod
92-28	21-punct	1-punct

93-0	4-dep	17-root
93-1	0-dep	17-root
93-2	4-auxpass	1-nmod
93-3	4-nsubjpass	2-nmod
93-4	17-root	3-nmod
93-5	6-case	4-nmod
93-6	4-nmod	5-nmod
93-7	9-punct	6-punct
93-8	9-nsubj	6-nmod
93-9	6-aclCOLrelcl	8-nmod
93-10	9-dobj	9-nmod
93-11	12-case	10-nmod
93-12	9-nmod	11-nmod
93-13	15-case	10-nmod
93-14	15-det	13-nmod
93-15	9-nmod	14-nmod
93-16	4-punct	1-punct

94-0	1-det	15-root
94-1	6-nsubj	0-nmod
94-2	3-case	1-nmod
94-3	1-nmod	2-nmod
94-4	3-cc	3-cc
94-5	3-conj	3-nmod
94-6	15-root	5-nmod
94-7	6-dep	6-nmod
94-8	6-dobj	7-nmod
94-9	11-case	8-nmod
94-10	11-det	15-root
94-11	6-nmod	10-nmod
94-12	13-case	15-root
94-13	11-nmod	12-nmod
94-14	6-punct	12-punct

95-0	2-punct	1-punct
95-1	2-nsubj	2-nmod
95-2	9-root	9-root
95-3	2-dobj	2-nmod
95-4	2-advmod	3-nmod
95-5	7-case	4-nmod
95-6	7-det	5-nmod
95-7	2-nmod	6-nmod
95-8	2-punct	2-punct

96-0	1-nsubj	1-nmod
96-1	7-dep	11-root
96-2	1-advmod	1-advmod
96-3	4-case	2-nmod
96-4	1-nmod	3-nmod
96-5	1-punct	1-punct
96-6	1-punct	1-punct
96-7	11-root	1-nmod
96-8	7-nsubj	7-nmod
96-9	8-name	8-nmod
96-10	7-punct	1-punct

97-0	2-det	1-neg
97-1	2-det	24-root
97-2	24-root	1-nmod
97-3	2-punct	1-punct
97-4	6-punct	1-punct
97-5	6-nsubj	1-nmod
97-6	2-dep	5-nmod
97-7	6-dobj	6-nmod
97-8	7-dep	7-nmod
97-9	10-case	8-nmod
97-10	8-nmod	9-nmod
97-11	6-punct	1-punct
97-12	13-advmod	1-nmod
97-13	6-amod	1-nmod
97-14	17-mark	15-mark
97-15	17-nsubj	16-expl
97-16	17-cop	1-nmod
97-17	13-dep	16-nmod
97-18	17-punct	16-punct
97-19	17-conj	16-nmod
97-20	17-cc	19-cc
97-21	17-conj	19-nmod
97-22	6-punct	1-punct
97-23	6-punct	1-punct

98-0	2-nummod	1-nsubj
98-1	2-amod	23-root
98-2	11-nsubjpass	1-nmod
98-3	11-auxpass	2-nmod
98-4	11-dep	3-nmod
98-5	6-case	4-nmod
98-6	4-nmod	5-nmod
98-7	11-punct	1-punct
98-8	11-mark	9-mark
98-9	11-nsubjpass	1-nmod
98-10	11-aux	1-nmod
98-11	23-root	10-nmod
98-12	14-det	11-nmod
98-13	14-dep	12-nmod
98-14	11-dobj	13-nmod
98-15	11-punct	1-punct
98-16	18-nsubjpass	1-nmod
98-17	18-auxpass	16-nmod
98-18	14-cop	17-nmod
98-19	18-nmodCOLloc	18-nmod
98-20	21-case	19-nmod
98-21	19-nmod	20-nmod
98-22	11-punct	1-punct

99-0	4-advmod	6-root
99-1	4-auxpass	0-nmod
99-2	3-det	1-nmod
99-3	4-nsubjpass	2-nmod
99-4	6-root	3-nmod
99-5	4-punct	0-punct

100-0	2-det	36-root
100-1	2-dep	0-nmod
100-2	8-nsubj	1-nmod
100-3	4-case	2-nmod
100-4	2-nmod	3-nmod
100-5	4-appos	4-nmod
100-6	7-case	11-advmodCOLemph
100-7	4-nmod	6-nmod
100-8	36-root	7-nmod
100-9	16-punct	6-punct
100-10	16-mark	11-mark
100-11	12-amod	5-nmod
100-12	16-nsubj	11-nmod
100-13	14-case	12-nmod
100-14	16-nmod	13-nmod
100-15	16-aux	14-nmod
100-16	8-dobj	15-nmod
100-17	16-dobj	16-nmod
100-18	17-dep	17-nmod
100-19	20-amod	18-nmod
100-20	18-dobj	19-nmod
100-21	23-case	22-advmodCOLemph
100-22	23-amod	20-nmod
100-23	18-nmod	22-nmod
100-24	18-dep	23-nmod
100-25	24-dep	26-case
100-26	25-dep	23-nmod
100-27	26-dobj	26-nmod
100-28	26-dep	27-nmod
100-29	28-dep	28-nmod
100-30	29-dep	36-root
100-31	30-advmod	30-nmod
100-32	31-dep	36-root
100-33	34-dep	36-root
100-34	32-dep	33-nmod
100-35	8-punct	33-punct

101-0	4-dep	11-root
101-1	0-nmod	0-nummod
101-2	3-amod	1-nmod
101-3	0-dep	2-nmod
101-4	11-root	3-nmod
101-5	7-det	4-nmod
101-6	7-amod	5-nmod
101-7	4-nsubj	6-nmod
101-8	9-case	7-nmod
101-9	4-nmod	8-nmod
101-10	4-punct	0-punct

102-0	2-dep	18-root
102-1	0-nmod	0-nummod
102-2	18-root	1-nmod
102-3	5-det	2-nmod
102-4	5-amod	3-nmod
102-5	2-nsubj	4-nmod
102-6	2-dobj	5-nmod
102-7	8-case	6-nmod
102-8	6-nmod	7-nmod
102-9	6-dep	8-nmod
102-10	9-dep	9-nmod
102-11	10-dep	10-nmod
102-12	11-dobj	11-nmod
102-13	11-cc	10-cc
102-14	11-conj	10-nmod
102-15	14-dobj	14-nmod
102-16	14-advmod	15-nmod
102-17	2-punct	0-punct

103-0	6-dep	8-root
103-1	0-nmod	0-nummod
103-2	6-cop	1-nmod
103-3	6-nsubj	2-nmod
103-4	6-det	3-nmod
103-5	6-amod	4-nmod
103-6	8-root	5-nmod
103-7	6-punct	0-punct

104-0	4-punct	1-punct
104-1	4-nsubj	6-root
104-2	4-cop	1-nmod
104-3	4-advmod	1-advmod
104-4	6-root	3-nmod
104-5	4-punct	1-punct

105-0	1-nsubj	5-root
105-1	5-root	0-nmod
105-2	1-advmod	0-advmod
105-3	1-dep	2-nmod
105-4	1-punct	0-punct

106-0	2-det	13-root
106-1	2-amod	0-nmod
106-2	3-nsubj	1-nmod
106-3	8-dep	2-nmod
106-4	5-case	3-nmod
106-5	3-nmod	4-nmod
106-6	3-punct	0-punct
106-7	3-punct	0-punct
106-8	13-root	0-nmod
106-9	8-nsubj	8-nmod
106-10	11-case	9-nmod
106-11	8-nmod	10-nmod
106-12	8-punct	0-punct

107-0	5-punct	1-punct
107-1	5-nsubj	7-root
107-2	5-aux	1-nmod
107-3	5-cop	2-nmod
107-4	5-det	7-root
107-5	7-root	4-nmod
107-6	5-punct	4-punct

108-0	2-nsubj	1-expl
108-1	2-cop	14-root
108-2	14-root	1-nmod
108-3	8-punct	1-punct
108-4	8-mark	5-mark
108-5	8-nsubjpass	1-nmod
108-6	8-neg	5-nmod
108-7	8-auxpass	6-nmod
108-8	0-dep	7-nmod
108-9	12-punct	1-punct
108-10	12-mark	11-mark
108-11	12-nsubj	1-nmod
108-12	8-dep	11-nmod
108-13	2-punct	1-punct

109-0	1-advmod	17-root
109-1	11-advmod	0-nmod
109-2	4-nsubj	1-nmod
109-3	4-aux	2-nmod
109-4	1-aclCOLrelcl	17-root
109-5	6-case	17-root
109-6	4-nmod	5-nmod
109-7	4-punct	5-punct
109-8	11-aux	17-root
109-9	11-nsubj	8-nmod
109-10	11-advmod	9-nmod
109-11	17-root	10-nmod
109-12	11-dep	11-nmod
109-13	12-cc	8-cc
109-14	15-advmod	8-advmod
109-15	12-conj	14-nmod
109-16	11-punct	8-punct

110-0	2-nsubj	1-expl
110-1	2-aux	16-root
110-2	16-root	1-nmod
110-3	2-dep	2-nmod
110-4	8-punct	1-punct
110-5	8-mark	6-mark
110-6	8-nsubj	1-nmod
110-7	8-aux	6-nmod
110-8	3-dep	7-nmod
110-9	8-dep	16-root
110-10	12-det	16-root
110-11	12-amod	10-nmod
110-12	9-dep	11-nmod
110-13	14-case	12-nmod
110-14	12-nmod	13-nmod
110-15	2-punct	10-punct

111-0	2-mark	1-mark
111-1	2-nsubj	17-root
111-2	8-dep	1-nmod
111-3	2-punct	1-punct
111-4	8-aux	1-nmod
111-5	8-nsubj	4-nmod
111-6	8-advmod	5-nmod
111-7	8-aux	6-nmod
111-8	17-root	7-xcomp
111-9	10-det	8-nmod
111-10	8-dobj	8-nmod
111-11	12-case	10-nmod
111-12	10-nmod	11-nmod
111-13	14-case	17-root
111-14	8-nmod	13-nmod
111-15	8-punct	13-punct
111-16	8-punct	13-punct

112-0	2-nsubj	3-root
112-1	2-cop	0-nmod
112-2	3-root	0-nmod

113-0	6-dep	13-root
113-1	0-nmod	0-nummod
113-2	4-punct	1-punct
113-3	4-amod	1-nmod
113-4	0-dep	3-nmod
113-5	4-punct	1-punct
113-6	13-root	1-nmod
113-7	6-nsubj	6-nmod
113-8	6-amod	1-advmod
113-9	6-advmod	8-nmod
113-10	11-case	9-nmod
113-11	6-nmod	10-nmod
113-12	6-punct	0-punct

114-0	2-det	10-root
114-1	2-amod	0-nmod
114-2	10-root	1-nmod
114-3	4-case	2-nmod
114-4	2-nmod	3-nmod
114-5	4-punct	4-punct
114-6	4-conj	4-nmod
114-7	4-cc	6-cc
114-8	4-conj	6-nmod
114-9	2-punct	0-punct

115-0	3-punct	1-punct
115-1	3-nsubjpass	6-root
115-2	3-auxpass	1-nmod
115-3	6-root	2-nmod
115-4	3-advmod	3-nmod
115-5	3-punct	1-punct

116-0	1-nsubj	6-root
116-1	6-root	0-nmod
116-2	1-nmodCOLloc	1-nmod
116-3	4-case	2-nmod
116-4	1-nmod	3-nmod
116-5	1-punct	0-punct

117-0	4-nsubj	7-root
117-1	4-cop	0-nmod
117-2	4-det	0-nmod
117-3	4-amod	0-nmod
117-4	7-root	3-nmod
117-5	4-advmod	4-nmod
117-6	4-punct	0-punct

118-0	1-nsubj	24-root
