1-0	4-nummod	3-nummod
55-13	0-punct	5-punct

56-0	3-nsubj	3-nsubj
56-1	3-aux	3-aux
56-2	3-advmod	3-advmod
56-3	21-root	21-root
56-4	3-iobj	3-dobj
56-5	7-case	7-case
56-6	7-amod	7-amod
56-7	4-nmod	4-nmod
56-8	7-cc	7-cc
56-9	7-conj	7-nmod
56-10	11-amod	11-amod
56-11	3-dobj	3-nmod
56-12	0-dep	13-mark
56-13	12-dep	3-ccomp
56-14	16-case	16-case
56-15	16-det	16-det
56-16	13-nmod	13-dobj
56-17	19-case	19-case
56-18	19-amod	19-amod
56-19	16-nmod	16-nmod
56-20	3-punct	3-punct

57-0	2-nsubj	2-nsubj
57-1	2-aux	2-aux
57-2	5-dep	5-ccomp
57-3	2-dobj	2-dobj
57-4	2-punct	2-punct
57-5	10-root	10-root
57-6	5-nsubj	8-name
57-7	6-name	8-name
57-8	6-name	5-nmod
57-9	5-punct	5-punct

58-0	4-punct	17-punct
58-1	4-nsubj	17-root
58-2	4-aux	4-aux
58-3	4-cop	4-aux
58-4	17-root	1-amod
58-5	4-dep	17-root
58-6	11-punct	11-punct
58-7	11-mark	11-mark
58-8	11-nsubj	11-nsubj
58-9	11-neg	11-advmod
58-10	11-aux	11-aux
58-11	5-dep	17-root
58-12	11-dobj	11-dobj
58-13	11-advmod	15-advmod
58-14	15-det	15-det
58-15	11-dep	12-nmod
58-16	4-punct	11-punct

59-0	6-dep	14-root
59-1	0-nsubj	0-dobj
59-2	0-nmodCOLloc	4-advmod
59-3	4-case	4-case
59-4	2-nmod	1-nmod
59-5	0-punct	0-punct
59-6	11-dep	0-conj
59-7	6-nsubj	11-nsubj
59-8	6-dep	11-advmod
59-9	6-punct	8-punct
59-10	6-punct	8-punct
59-11	14-root	14-root
59-12	11-nsubj	11-nmod
59-13	11-punct	11-punct

60-0	2-det	2-det
60-1	2-amod	2-amod
60-2	3-nsubj	3-nsubj
60-3	14-root	14-root
60-4	3-advmod	8-advmod
60-5	8-det	8-det
60-6	8-det	8-det
60-7	8-amod	8-amod
60-8	3-dobj	3-dobj
60-9	10-punct	3-punct
60-10	3-dep	3-ccomp
60-11	12-case	12-case
60-12	10-nmod	10-nmod
60-13	3-punct	3-punct

61-0	1-nsubj	1-nsubj
61-1	4-root	4-root
61-2	1-dobj	1-nmod
61-3	1-punct	1-punct

62-0	1-advmod	4-advmod
62-1	4-case	2-case
62-2	4-nmodCOLposs	4-nsubj
62-3	4-amod	4-amod
62-4	6-root	6-root
62-5	1-punct	4-punct

63-0	1-nsubj	1-nsubj
63-1	4-root	4-root
63-2	1-neg	1-advmod
63-3	1-dobj	1-nmod

64-0	1-nummod	1-nummod
64-1	4-nsubj	4-nsubj
64-2	4-aux	4-aux
64-3	4-neg	4-advmod
64-4	10-root	10-root
64-5	4-dobj	4-nmod
64-6	5-nmod	8-advmodCOLemph
64-7	8-cop	8-aux
64-8	6-dep	5-nmod
64-9	4-punct	4-punct

65-0	1-det	8-det
65-1	3-nsubj	8-root
65-2	3-aux	3-aux
65-3	5-dep	1-conj
65-4	3-punct	3-punct
65-5	8-root	1-conj
65-6	5-nsubj	5-nmod
65-7	5-punct	1-punct

66-0	1-advmod	1-advmod
66-1	16-root	16-root
66-2	1-nsubj	1-nmod
66-3	9-punct	9-punct
66-4	9-mark	9-mark
66-5	6-nummod	6-nummod
66-6	9-nsubj	9-nsubj
66-7	8-case	8-case
66-8	9-nmod	6-nmod
66-9	1-dobj	1-ccomp
66-10	9-advmod	14-advmod
66-11	14-case	14-case
66-12	14-det	14-det
66-13	14-amod	14-amod
66-14	9-nmod	9-nmod
66-15	1-punct	1-punct

67-0	1-advmod	1-advmod
67-1	11-root	11-root
67-2	4-det	4-det
67-3	4-amod	4-amod
67-4	1-nsubj	1-nmod
67-5	7-nummod	7-nummod
67-6	7-amod	7-amod
67-7	1-dobj	4-nmod
67-8	9-case	9-case
67-9	1-nmod	7-nmod
67-10	1-punct	1-punct

68-0	3-dep	2-case
68-1	0-dep	2-mark
68-2	1-dep	9-root
68-3	9-root	9-root
68-4	3-nsubj	3-dobj
68-5	3-advmod	7-advmod
68-6	5-dep	7-case
68-7	6-nummod	4-nummod
68-8	3-punct	3-punct

69-0	1-nsubj	1-nsubj
69-1	7-root	7-root
69-2	3-det	3-det
69-3	1-dobj	1-dobj
69-4	5-case	5-case
69-5	3-nmod	3-nmod
69-6	1-punct	1-punct

70-0	2-nsubj	2-nsubj
70-1	2-aux	2-aux
70-2	8-root	8-root
70-3	6-case	8-root
70-4	6-det	5-det
70-5	6-dep	8-root
70-6	2-nmod	5-nmod
70-7	2-punct	5-punct

71-0	3-root	1-name
71-1	0-name	3-root
71-2	0-name	1-nmod

72-0	3-det	3-det
72-1	3-amod	3-amod
72-2	3-amod	3-amod
72-3	4-nsubj	4-nmod
72-4	7-root	7-root
72-5	4-dobj	4-nmod
72-6	4-punct	4-punct

73-0	1-advmod	1-advmod
73-1	7-root	7-root
73-2	1-nsubj	1-nmod
73-3	1-dobj	5-nmod
73-4	6-case	5-case
73-5	6-nmodCOLposs	1-nmod
73-6	1-nmod	1-nmod

74-0	1-name	3-nsubj
74-1	3-nsubj	2-name
74-2	1-name	0-nmod
74-3	35-root	35-root
74-4	3-advmod	7-advmod
74-5	7-det	7-det
74-6	7-amod	7-amod
74-7	3-dobj	3-dobj
74-8	9-case	9-case
74-9	7-nmod	7-nmod
74-10	9-dep	11-case
74-11	10-nummod	9-nummod
74-12	13-case	13-case
74-13	3-nmod	9-nmod
74-14	13-dep	35-root
74-15	19-punct	19-punct
74-16	19-mark	19-mark
74-17	19-expl	19-mark
74-18	19-aux	19-aux
74-19	14-dep	35-root
74-20	19-dobj	19-dobj
74-21	27-case	27-case
74-22	27-det	23-det
74-23	27-det	27-det
74-24	19-punct	25-punct
74-25	27-amod	27-amod
74-26	27-amod	27-amod
74-27	19-nmod	20-nmod
74-28	27-punct	27-punct
74-29	27-dep	27-nmod
74-30	29-punct	29-punct
74-31	29-conj	29-nmod
74-32	29-cc	31-cc
74-33	29-conj	31-nmod
74-34	3-punct	19-punct

75-0	2-punct	2-punct
75-1	2-nsubj	2-nsubj
75-2	18-root	18-root
75-3	2-dep	18-root
75-4	3-dep	5-mark
75-5	4-dep	18-root
75-6	5-dobj	5-dobj
75-7	8-case	8-case
75-8	6-nmod	6-nmod
75-9	5-dep	10-advmodCOLemph
75-10	9-dep	8-nmod
75-11	12-case	12-case
75-12	10-nmod	10-nmod
75-13	16-case	16-case
75-14	16-det	16-det
75-15	16-det	16-det
75-16	12-nmod	12-nmod
75-17	2-punct	5-punct

76-0	2-det	2-det
76-1	2-amod	2-amod
76-2	4-nsubj	4-nsubj
76-3	4-aux	4-aux
76-4	25-dep	11-advcl
76-5	4-dep	11-case
76-6	11-punct	11-punct
76-7	11-mark	11-mark
76-8	10-det	10-det
76-9	10-amod	10-amod
76-10	11-nsubj	11-nsubj
76-11	5-dep	25-ccomp
76-12	15-punct	15-punct
76-13	15-mark	15-mark
76-14	15-expl	15-mark
76-15	11-dep	11-ccomp
76-16	18-det	18-det
76-17	18-amod	18-amod
76-18	15-dobj	15-dobj
76-19	18-cc	18-cc
76-20	18-conj	18-nmod
76-21	22-case	22-case
76-22	15-nmod	20-nmod
76-23	15-punct	15-punct
76-24	4-punct	15-punct
76-25	31-root	31-root
76-26	25-nsubj	27-name
76-27	26-name	25-nmod
76-28	29-case	29-case
76-29	25-nmod	25-nmod
76-30	25-punct	25-punct

77-0	12-nsubj	6-nsubj
77-1	12-aux	6-aux
77-2	3-case	3-case
77-3	12-nmod	6-nsubj
77-4	6-punct	3-punct
77-5	6-nsubj	6-mark
77-6	3-aclCOLrelcl	35-root
77-7	8-case	8-case
77-8	6-nmod	6-dobj
77-9	10-case	10-case
77-10	6-nmod	8-nmod
77-11	6-punct	6-punct
77-12	35-root	35-root
77-13	14-nummod	14-nummod
77-14	12-dobj	12-dobj
77-15	14-punct	12-punct
77-16	17-nsubj	17-mark
77-17	14-dep	35-root
77-18	17-dobj	20-amod
77-19	20-case	20-case
77-20	18-nmod	17-dobj
77-21	22-case	22-case
77-22	20-nmod	20-nmod
77-23	24-case	24-case
77-24	19-nmod	22-nmod
77-25	27-case	27-case
77-26	27-nummod	27-nummod
77-27	24-nmod	24-nmod
77-28	29-case	29-case
77-29	27-nmod	27-nmod
77-30	29-advmod	33-advmod
77-31	33-case	33-case
77-32	33-nummod	33-nummod
77-33	30-nmod	29-nmod
77-34	12-punct	17-punct

78-0	2-nsubj	1-name
78-1	0-name	2-nsubj
78-2	23-root	23-root
78-3	2-neg	2-advmod
78-4	14-punct	17-punct
78-5	14-mark	17-mark
78-6	7-det	7-det
78-7	14-nsubj	17-nsubj
78-8	9-case	9-case
78-9	7-nmod	7-nmod
78-10	9-cc	9-cc
78-11	9-conj	7-nmod
78-12	14-aux	17-aux
78-13	14-cop	17-aux
78-14	2-dobj	17-advmod
78-15	14-dep	17-case
78-16	15-dep	17-mark
78-17	16-dep	2-ccomp
78-18	21-det	21-det
78-19	20-advmod	20-advmod
78-20	21-amod	21-amod
78-21	17-dobj	17-nmod
78-22	2-punct	2-punct

79-0	1-dep	2-root
79-1	2-root	0-nmod

80-0	2-punct	2-punct
80-1	2-nsubj	2-nsubj
80-2	27-dep	27-ccomp
80-3	4-advmod	4-advmod
80-4	2-dep	2-ccomp
80-5	2-dep	8-case
80-6	12-punct	8-punct
80-7	12-mark	8-mark
80-8	12-nsubj	4-dobj
80-9	8-cc	8-cc
80-10	8-conj	12-nsubj
80-11	12-aux	12-aux
80-12	5-dep	27-ccomp
80-13	12-dobj	12-dobj
80-14	16-case	16-case
80-15	16-amod	16-amod
80-16	12-nmod	13-nmod
80-17	12-punct	12-punct
80-18	21-dep	22-advmodCOLemph
80-19	21-nsubj	22-nsubj
80-20	21-aux	22-aux
80-21	16-aux	22-aux
80-22	21-dobj	12-dobj
80-23	22-cc	22-cc
80-24	22-conj	22-nmod
80-25	21-punct	12-punct
80-26	2-punct	12-punct
80-27	31-root	31-root
80-28	27-nsubj	29-name
80-29	28-name	27-nmod
80-30	27-punct	27-punct

81-0	3-root	3-root
81-1	2-nummod	2-nummod
81-2	0-dep	0-nmod

82-0	1-nsubj	1-nmod
82-1	27-root	27-root
82-2	1-dep	3-mark
82-3	2-dep	27-root
82-4	5-amod	5-amod
82-5	1-dep	3-dobj
82-6	7-case	7-case
82-7	1-nmod	5-nmod
82-8	9-case	9-case
82-9	7-nmod	7-nmod
82-10	9-cc	9-cc
82-11	9-conj	7-nmod
82-12	1-punct	3-punct
82-13	1-cc	3-cc
82-14	15-nmodCOLtemp	16-nmod
82-15	16-advmod	16-advmod
82-16	1-conj	27-root
82-17	16-nsubj	16-nmod
82-18	17-punct	17-punct
82-19	17-appos	17-nmod
82-20	19-punct	17-punct
82-21	19-conj	17-nmod
82-22	19-punct	21-punct
82-23	19-conj	17-nmod
82-24	19-cc	23-cc
82-25	19-conj	17-nmod
82-26	1-punct	16-punct

83-0	2-det	2-det
83-1	2-nummod	2-nummod
83-2	6-nsubj	6-nmod
83-3	4-case	4-case
83-4	2-nmod	2-nmod
83-5	6-aux	6-aux
83-6	43-root	43-root
83-7	8-nummod	8-nummod
83-8	6-nmodCOLtemp	6-dobj
83-9	10-case	10-case
83-10	8-nmod	8-nmod
83-11	12-case	12-case
83-12	10-nmod	10-nmod
83-13	6-punct	6-punct
83-14	6-cc	6-cc
83-15	16-nsubj	16-nsubj
83-16	6-conj	6-ccomp
83-17	16-advmod	19-advmod
83-18	19-nummod	19-nummod
83-19	16-dobj	16-dobj
83-20	24-case	21-case
83-21	16-nmod	19-nmod
83-22	24-det	24-det
83-23	24-dep	24-amod
83-24	21-dep	21-nmod
83-25	24-punct	16-punct
83-26	28-advmod	28-advmod
83-27	28-nsubj	28-nsubj
83-28	24-dep	6-ccomp
83-29	28-amod	30-advmod
83-30	28-advmod	28-advmod
83-31	28-punct	28-punct
83-32	28-dep	28-nmod
83-33	32-punct	28-punct
83-34	32-conj	28-nmod
83-35	32-punct	28-punct
83-36	32-conj	28-nmod
83-37	32-punct	28-punct
83-38	32-conj	28-nmod
83-39	38-nummod	38-nummod
83-40	32-cc	39-cc
83-41	32-conj	28-nmod
83-42	6-punct	6-punct

84-0	9-nmod	3-nsubj
84-1	3-nsubj	3-mark
84-2	3-aux	3-aux
84-3	0-aclCOLrelcl	17-root
84-4	5-case	5-case
84-5	3-nmod	6-nmod
84-6	17-root	17-root
84-7	6-nsubj	6-dobj
84-8	6-advmod	9-advmod
84-9	6-dobj	7-nmod
84-10	0-case	12-case
84-11	12-case	12-case
84-12	6-nmod	9-nmod
84-13	15-det	15-det
84-14	15-dep	15-amod
84-15	12-dep	12-nmod
84-16	6-punct	6-punct

85-0	5-advmod	5-advmod
85-1	5-aux	5-aux
85-2	5-nsubjpass	5-nsubj
85-3	5-advmod	5-advmod
85-4	5-auxpass	5-aux
85-5	21-root	9-advcl
85-6	9-mark	9-mark
85-7	9-nsubj	9-nsubj
85-8	9-aux	9-aux
85-9	2-dep	21-root
85-10	18-punct	18-punct
85-11	18-mark	18-mark
85-12	18-expl	18-discourse
85-13	14-case	14-case
85-14	18-nmod	18-nmod
85-15	17-case	17-case
85-16	17-amod	17-amod
85-17	14-nmod	18-nmod
85-18	9-dep	9-xcomp
85-19	18-nmodCOLtemp	18-advmod
85-20	5-punct	9-punct

86-0	2-cop	3-aux
86-1	2-nsubj	3-nsubj
86-2	3-dep	3-nmod
86-3	10-root	10-root
86-4	5-nmodCOLposs	10-root
86-5	3-nsubj	4-nmod
86-6	8-det	8-det
86-7	8-dep	8-amod
86-8	3-nmodCOLtemp	5-nmod
86-9	3-punct	4-punct

87-0	22-root	1-case
87-1	0-advmod	3-advmod
87-2	0-dep	3-mark
87-3	2-dep	22-root
87-4	3-dobj	5-advmod
87-5	4-amod	7-amod
87-6	7-mark	7-case
87-7	5-dep	3-dobj
87-8	15-punct	15-punct
87-9	15-mark	15-mark
87-10	15-nsubj	15-nsubj
87-11	12-case	12-case
87-12	15-nmod	10-nmod
87-13	15-neg	15-advmod
87-14	15-aux	15-aux
87-15	3-dep	22-root
87-16	15-dobj	15-nmod
87-17	20-case	18-case
87-18	20-nmod	16-nmod
87-19	18-dep	16-nmod
87-20	16-nmod	19-nmod
87-21	0-punct	15-punct

88-0	8-aux	8-aux
88-1	2-det	2-det
88-2	8-nsubj	8-nmod
88-3	4-case	4-case
88-4	2-nmod	2-nmod
88-5	6-case	6-case
88-6	8-nmod	2-nmod
88-7	8-advmod	8-advmod
88-8	13-dep	20-root
88-9	8-dobj	10-mark
88-10	9-dep	8-conj
88-11	10-dobj	13-nmod
88-12	10-nmodCOLtemp	13-nsubj
88-13	20-root	20-root
88-14	15-nummod	15-nummod
88-15	13-nsubj	13-dobj
88-16	13-nmodCOLloc	18-advmod
88-17	18-case	18-case
88-18	16-nmod	15-nmod
88-19	13-punct	13-punct

89-0	16-root	4-advmod
89-1	5-det	2-det
89-2	5-nummod	4-nsubj
89-3	4-advmod	4-advmod
89-4	5-dep	16-root
89-5	8-nsubj	4-dobj
89-6	7-case	7-case
89-7	5-nmod	8-nsubj
89-8	0-dep	4-ccomp
89-9	10-case	10-case
89-10	8-nmod	8-dobj
89-11	14-case	14-case
89-12	14-det	14-det
89-13	14-amod	14-amod
89-14	8-nmod	10-nmod
89-15	0-punct	4-punct

90-0	1-nsubj	1-nsubj
90-1	7-root	7-root
90-2	5-case	5-case
90-3	5-advmod	5-advmod
90-4	5-nummod	5-nummod
90-5	1-nmod	1-nmod
90-6	1-punct	1-punct

91-0	1-nsubj	1-nsubj
91-1	13-root	13-root
91-2	1-nmodCOLloc	1-advmod
91-3	2-cc	1-cc
91-4	2-conj	6-advmod
91-5	9-case	6-case
91-6	9-dep	1-conj
91-7	6-cc	6-cc
91-8	6-conj	9-amod
91-9	2-nmod	6-dobj
91-10	11-case	11-case
91-11	9-nmod	9-nmod
91-12	1-punct	1-punct

92-0	2-punct	2-punct
92-1	2-nsubj	2-nsubj
92-2	21-dep	29-root
92-3	2-dobj	4-mark
92-4	3-dep	2-ccomp
92-5	7-case	7-case
92-6	7-det	7-det
92-7	4-nmod	4-dobj
92-8	2-cc	7-cc
92-9	2-conj	2-ccomp
92-10	9-punct	9-punct
92-11	9-dep	9-conj
92-12	11-dobj	13-nsubj
92-13	11-dep	11-conj
92-14	13-dobj	18-nsubj
92-15	18-case	18-case
92-16	18-det	18-det
92-17	18-amod	18-amod
92-18	13-nmod	13-dobj
92-19	11-punct	13-punct
92-20	2-punct	13-punct
92-21	29-root	2-ccomp
92-22	24-det	24-det
92-23	24-amod	24-amod
92-24	21-nsubj	21-nmod
92-25	24-punct	24-punct
92-26	24-dep	27-name
92-27	26-name	24-nmod
92-28	21-punct	2-punct

93-0	4-dep	4-mark
93-1	0-dep	4-nsubj
93-2	4-auxpass	4-aux
93-3	4-nsubjpass	4-nsubj
93-4	17-root	17-root
93-5	6-case	6-case
93-6	4-nmod	4-dobj
93-7	9-punct	4-punct
93-8	9-nsubj	9-mark
93-9	6-aclCOLrelcl	4-conj
93-10	9-dobj	17-root
93-11	12-case	12-case
93-12	9-nmod	17-root
93-13	15-case	15-case
93-14	15-det	15-det
93-15	9-nmod	12-nmod
93-16	4-punct	12-punct

94-0	1-det	1-det
94-1	6-nsubj	6-nsubj
94-2	3-case	3-case
94-3	1-nmod	1-nmod
94-4	3-cc	3-cc
94-5	3-conj	6-nsubj
94-6	15-root	15-root
94-7	6-dep	15-root
94-8	6-dobj	7-dobj
94-9	11-case	11-case
94-10	11-det	11-det
94-11	6-nmod	8-nmod
94-12	13-case	13-case
94-13	11-nmod	11-nmod
94-14	6-punct	7-punct

95-0	2-punct	2-punct
95-1	2-nsubj	2-nsubj
95-2	9-root	9-root
95-3	2-dobj	2-dobj
95-4	2-advmod	7-advmod
95-5	7-case	7-case
95-6	7-det	7-det
95-7	2-nmod	3-nmod
95-8	2-punct	2-punct

96-0	1-nsubj	1-nsubj
96-1	7-dep	7-ccomp
96-2	1-advmod	1-advmod
96-3	4-case	4-case
96-4	1-nmod	1-dobj
96-5	1-punct	1-punct
96-6	1-punct	1-punct
96-7	11-root	11-root
96-8	7-nsubj	9-name
96-9	8-name	7-nmod
96-10	7-punct	7-punct

97-0	2-det	2-det
97-1	2-det	2-det
97-2	24-root	6-nmod
97-3	2-punct	2-punct
97-4	6-punct	6-punct
97-5	6-nsubj	6-nsubj
97-6	2-dep	24-root
97-7	6-dobj	8-mark
97-8	7-dep	6-ccomp
97-9	10-case	10-case
97-10	8-nmod	17-amod
97-11	6-punct	10-punct
97-12	13-advmod	13-advmod
97-13	6-amod	17-amod
97-14	17-mark	17-mark
97-15	17-nsubj	17-nsubj
97-16	17-cop	17-aux
97-17	13-dep	8-dobj
97-18	17-punct	17-punct
97-19	17-conj	17-nmod
97-20	17-cc	19-cc
97-21	17-conj	19-nmod
97-22	6-punct	21-punct
97-23	6-punct	6-punct

98-0	2-nummod	2-nummod
98-1	2-amod	2-amod
98-2	11-nsubjpass	4-nsubj
98-3	11-auxpass	4-aux
98-4	11-dep	23-root
98-5	6-case	6-case
98-6	4-nmod	4-dobj
98-7	11-punct	11-punct
98-8	11-mark	11-mark
98-9	11-nsubjpass	11-nsubj
98-10	11-aux	11-aux
98-11	23-root	4-ccomp
98-12	14-det	13-det
98-13	14-dep	23-root
98-14	11-dobj	13-dobj
98-15	11-punct	13-punct
98-16	18-nsubjpass	21-advmodCOLemph
98-17	18-auxpass	21-aux
98-18	14-cop	21-aux
98-19	18-nmodCOLloc	21-advmod
98-20	21-case	21-case
98-21	19-nmod	13-nmod
98-22	11-punct	13-punct

99-0	4-advmod	4-advmod
99-1	4-auxpass	4-aux
99-2	3-det	3-det
99-3	4-nsubjpass	4-nsubj
99-4	6-root	6-root
99-5	4-punct	4-punct

100-0	2-det	1-det
100-1	2-dep	8-advcl
100-2	8-nsubj	1-dobj
100-3	4-case	4-case
100-4	2-nmod	8-nsubj
100-5	4-appos	4-nmod
100-6	7-case	7-case
100-7	4-nmod	4-nmod
100-8	36-root	36-root
100-9	16-punct	16-punct
100-10	16-mark	16-mark
100-11	12-amod	12-amod
100-12	16-nsubj	16-nmod
100-13	14-case	14-case
100-14	16-nmod	12-nmod
100-15	16-aux	16-aux
100-16	8-dobj	8-conj
100-17	16-dobj	18-mark
100-18	17-dep	36-root
100-19	20-amod	20-amod
100-20	18-dobj	18-dobj
100-21	23-case	23-case
100-22	23-amod	23-amod
100-23	18-nmod	20-nmod
100-24	18-dep	26-case
100-25	24-dep	26-mark
100-26	25-dep	18-conj
100-27	26-dobj	30-nsubj
100-28	26-dep	30-case
100-29	28-dep	30-mark
100-30	29-dep	36-root
100-31	30-advmod	33-advmod
100-32	31-dep	33-mark
100-33	34-dep	36-root
100-34	32-dep	33-nmod
100-35	8-punct	33-punct

101-0	4-dep	4-nsubj
101-1	0-nmod	3-nummod
101-2	3-amod	3-amod
101-3	0-dep	4-nsubj
101-4	11-root	11-root
101-5	7-det	7-det
101-6	7-amod	7-amod
101-7	4-nsubj	4-nmod
101-8	9-case	9-case
101-9	4-nmod	7-nmod
101-10	4-punct	4-punct

102-0	2-dep	2-nsubj
102-1	0-nmod	0-nummod
102-2	18-root	18-root
102-3	5-det	5-det
102-4	5-amod	5-amod
102-5	2-nsubj	18-root
102-6	2-dobj	5-nmod
102-7	8-case	8-case
102-8	6-nmod	6-nmod
102-9	6-dep	18-root
102-10	9-dep	11-mark
102-11	10-dep	18-root
102-12	11-dobj	11-dobj
102-13	11-cc	11-cc
102-14	11-conj	18-root
102-15	14-dobj	14-dobj
102-16	14-advmod	14-advmod
102-17	2-punct	14-punct

103-0	6-dep	8-root
103-1	0-nmod	0-nummod
103-2	6-cop	6-aux
103-3	6-nsubj	6-nsubj
103-4	6-det	6-det
103-5	6-amod	6-amod
103-6	8-root	0-nmod
103-7	6-punct	0-punct

104-0	4-punct	4-punct
104-1	4-nsubj	4-nsubj
104-2	4-cop	4-aux
104-3	4-advmod	4-advmod
104-4	6-root	6-root
104-5	4-punct	4-punct

105-0	1-nsubj	1-nsubj
105-1	5-root	5-root
105-2	1-advmod	3-advmod
105-3	1-dep	1-ccomp
105-4	1-punct	1-punct

106-0	2-det	2-det
106-1	2-amod	2-amod
106-2	3-nsubj	3-nsubj
106-3	8-dep	13-root
106-4	5-case	5-case
106-5	3-nmod	3-dobj
106-6	3-punct	3-punct
106-7	3-punct	3-punct
106-8	13-root	13-root
106-9	8-nsubj	8-nmod
106-10	11-case	11-case
106-11	8-nmod	9-nmod
106-12	8-punct	8-punct

107-0	5-punct	5-punct
107-1	5-nsubj	5-nsubj
107-2	5-aux	5-aux
107-3	5-cop	5-aux
107-4	5-det	5-det
107-5	7-root	7-root
107-6	5-punct	5-punct

108-0	2-nsubj	2-nsubj
108-1	2-cop	2-aux
108-2	14-root	14-root
108-3	8-punct	8-punct
108-4	8-mark	8-mark
108-5	8-nsubjpass	8-nsubj
108-6	8-neg	8-advmod
108-7	8-auxpass	8-aux
108-8	0-dep	2-conj
108-9	12-punct	12-punct
108-10	12-mark	12-mark
108-11	12-nsubj	12-nsubj
108-12	8-dep	8-ccomp
108-13	2-punct	2-punct

109-0	1-advmod	4-advmod
109-1	11-advmod	4-advmod
109-2	4-nsubj	4-nsubj
109-3	4-aux	4-aux
109-4	1-aclCOLrelcl	17-root
109-5	6-case	6-case
109-6	4-nmod	4-nmod
109-7	4-punct	4-punct
109-8	11-aux	11-aux
109-9	11-nsubj	11-nsubj
109-10	11-advmod	11-advmod
109-11	17-root	4-ccomp
109-12	11-dep	4-ccomp
109-13	12-cc	12-cc
109-14	15-advmod	15-advmod
109-15	12-conj	12-conj
109-16	11-punct	4-punct

110-0	2-nsubj	2-nsubj
110-1	2-aux	2-aux
110-2	16-root	16-root
110-3	2-dep	8-case
110-4	8-punct	8-punct
110-5	8-mark	8-mark
110-6	8-nsubj	8-nmod
110-7	8-aux	8-aux
110-8	3-dep	2-conj
110-9	8-dep	16-root
110-10	12-det	12-det
110-11	12-amod	12-amod
110-12	9-dep	16-root
110-13	14-case	14-case
110-14	12-nmod	12-nmod
110-15	2-punct	12-punct

111-0	2-mark	2-mark
111-1	2-nsubj	2-nsubj
111-2	8-dep	17-root
111-3	2-punct	2-punct
111-4	8-aux	8-aux
111-5	8-nsubj	8-nsubj
111-6	8-advmod	8-advmod
111-7	8-aux	8-aux
111-8	17-root	2-ccomp
111-9	10-det	10-det
111-10	8-dobj	12-amod
111-11	12-case	12-case
111-12	10-nmod	8-dobj
111-13	14-case	14-case
111-14	8-nmod	12-nmod
111-15	8-punct	14-punct
111-16	8-punct	2-punct

112-0	2-nsubj	3-root
112-1	2-cop	2-aux
112-2	3-root	0-amod

113-0	6-dep	6-nmod
113-1	0-nmod	0-nummod
113-2	4-punct	0-punct
113-3	4-amod	4-amod
113-4	0-dep	0-nmod
113-5	4-punct	0-punct
113-6	13-root	13-root
113-7	6-nsubj	6-dobj
113-8	6-amod	9-advmod
113-9	6-advmod	11-advmod
113-10	11-case	11-case
113-11	6-nmod	7-nmod
113-12	6-punct	6-punct

114-0	2-det	2-det
114-1	2-amod	2-amod
114-2	10-root	10-root
114-3	4-case	4-case
114-4	2-nmod	2-nmod
114-5	4-punct	4-punct
114-6	4-conj	4-nmod
114-7	4-cc	6-cc
114-8	4-conj	6-nmod
114-9	2-punct	2-punct

115-0	3-punct	3-punct
115-1	3-nsubjpass	3-nsubj
115-2	3-auxpass	3-aux
115-3	6-root	6-root
115-4	3-advmod	3-advmod
115-5	3-punct	3-punct

116-0	1-nsubj	1-nsubj
116-1	6-root	6-root
116-2	1-nmodCOLloc	1-advmod
116-3	4-case	4-case
116-4	1-nmod	1-nmod
116-5	1-punct	1-punct

117-0	4-nsubj	7-root
117-1	4-cop	7-root
117-2	4-det	4-det
117-3	4-amod	4-amod
117-4	7-root	7-root
117-5	4-advmod	4-advmod
117-6	4-punct	4-punct

118-0	1-nsubj	1-nsubj
118-1	9-dep	9-ccomp
118-2	4-det	4-det
118-3	4-amod	4-amod
118-4	1-dep	1-dobj
118-5	6-case	6-case
118-6	4-nmod	4-nmod
118-7	1-punct	1-punct
118-8	1-punct	1-punct
118-9	24-root	24-root
118-10	9-nsubj	11-name
118-11	10-name	9-nmod
118-12	10-punct	9-punct
118-13	10-conj	14-name
118-14	13-name	9-nmod
118-15	10-cc	14-cc
118-16	10-conj	9-nmod
118-17	18-case	18-case
118-18	16-nmod	16-nmod
118-19	21-punct	16-punct
118-20	21-name	24-root
118-21	16-appos	22-name
118-22	21-name	20-nmod
118-23	9-punct	20-punct

119-0	2-case	2-case
119-1	2-det	2-det
119-2	10-nmod	15-root
119-3	10-cop	15-root
119-4	6-det	6-det
119-5	6-amod	6-amod
119-6	7-nmodCOLposs	15-root
119-7	10-nsubj	6-nmod
119-8	9-case	9-case
119-9	10-nmod	7-nmod
119-10	15-root	13-case
119-11	10-dep	13-mark
119-12	13-cop	13-aux
119-13	11-amod	9-amod
119-14	10-punct	6-punct

120-0	2-det	2-det
120-1	2-amod	2-amod
120-2	13-nsubj	8-nsubj
120-3	13-aux	8-aux
120-4	5-det	5-det
120-5	7-nmodCOLtemp	8-nsubj
120-6	5-nmod	5-nmod
120-7	13-advmod	8-advmod
120-8	13-dep	22-root
120-9	13-punct	13-punct
120-10	13-mark	13-mark
120-11	13-nsubj	13-nsubj
120-12	13-aux	13-aux
120-13	22-root	22-root
120-14	13-dobj	13-dobj
120-15	16-case	16-case
120-16	14-nmod	14-nmod
